,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/AK-RAK-1990-17', 'web': 'https://www.rijksmuseum.nl/en/collection/AK-RAK-1990-17'}",,AK-RAK-1990-17,Kluizenaar in de bergen,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1970-28', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1970-28'}",,BK-1970-28,Secretary,True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1972-157-A', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1972-157-A'}",,BK-1972-157-A,Two candle stands guéridons,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/AK-MAK-1464-A', 'web': 'https://www.rijksmuseum.nl/en/collection/AK-MAK-1464-A'}",,AK-MAK-1464-A,Unkoku school,True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1962-50', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1962-50'}",,BK-1962-50,Table,True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-T-1964-242', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-T-1964-242'}",,RP-T-1964-242,Portret van de kunstschilder Anton Mauve,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1969-141', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1969-141'}",,BK-1969-141,Commode,True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-721', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-721'}",,NG-721,Model of the island of Deshima,True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-NM-11552-86', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-NM-11552-86'}",,NG-NM-11552-86,Acehnese Shield,True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-T-1980-10', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-T-1980-10'}",,RP-T-1980-10,Schepen bij laag water in een Franse haven,True,,,False,False,,,[]
10,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1978-462', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1978-462'}",,BK-1978-462,Collar of Linen and Needle Lace,True,,,False,False,,,[]
11,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1965-14', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1965-14'}",,BK-1965-14,Schraagtafel van naaldhout belijmd met ebbenhout en zilver,True,,,False,False,,,[]
12,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1962-49', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1962-49'}",,BK-1962-49,Table,True,,,False,False,,,[]
13,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1962-33', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1962-33'}",,BK-1962-33,Christ’s Descent into Limbo,True,,,False,False,,,[]
14,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1994-75-A', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1994-75-A'}",,BK-1994-75-A,Kwispedoor van zilver met gedreven bloem- en bladranken,True,,,False,False,,,[]
15,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-709-1', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-709-1'}",,NG-709-1,Hoge hoed van S.J.P. Kruger,True,,,False,False,,,[]
16,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-14517', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-14517'}",,BK-14517,The Judgement of Cambyses,True,,,False,False,,,[]
17,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1966-48', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1966-48'}",,BK-1966-48,Cradle,True,,,False,False,,,[]
18,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1966-58', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1966-58'}",,BK-1966-58,The Triumph of Eternity,True,,,False,False,,,[]
19,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1961-103', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1961-103'}",,BK-1961-103,The Triumph of Eternity,True,,,False,False,,,[]
20,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-12969', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-12969'}",,BK-NM-12969,The Flight into Egypt,True,,,False,False,,,[]
21,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-OB-38.567', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-OB-38.567'}",,RP-P-OB-38.567,Fries met de triomf van de Liefde,True,,,False,False,,,[]
22,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-OB-4630', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-OB-4630'}",,RP-P-OB-4630,Wittevrouwenpoort te Utrecht,True,,,False,False,,,[]
23,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-1991-20', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-1991-20'}",,NG-1991-20,Album van Spoorwegen in Nederlandsch-Indië,True,,,False,False,,,[]
24,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-1991-8', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-1991-8'}",,NG-1991-8,"Thee en koffieservies van J.D. Preuyt (1801-1887), veehouder en burgemeester van Geervliet, aan hem geschonken voor zijn jubileum in 1873.",True,,,False,False,,,[]
25,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-1921-311', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-1921-311'}",,RP-P-1921-311,"Brand op de Elandsgracht in Amsterdam, 1679",True,,,False,False,,,[]
26,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-1891-A-16463', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-1891-A-16463'}",,RP-P-1891-A-16463,Triomf van de liefde,True,,,False,False,,,[]
